operador,central_electrica,fuente_de_energia_electrica,provincia,canton,distrito,codigo_dta,x,y
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,BOCA DE POZO,HIDRICA,GUANACASTE,BAGACES,LA FORTUNA,50402,371659.0862999996,1180815.4360000007
COOPERATIVA DE ELECTRIFICACION RURAL DE GUANACASTE R.L.,RIO NARANJO,EOLICA,GUANACASTE,BAGACES,RIO NARANJO,50404,379782.99260000046,1181288.1520000007
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MIRAVALLES V,GEOTERMICA,GUANACASTE,BAGACES,LA FORTUNA,50402,369500.0903000003,1181625.085000001
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MIRAVALLES II,GEOTERMICA,GUANACASTE,BAGACES,LA FORTUNA,50402,369411.3671000004,1183471.0620000008
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MIRAVALLES I,GEOTERMICA,GUANACASTE,BAGACES,LA FORTUNA,50402,369361.7474999996,1183520.6669999994
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MIRAVALLES III,GEOTERMICA,GUANACASTE,BAGACES,LA FORTUNA,50402,370762.3169999998,1185387.698999999
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,SOLAR MIRAVALLES,SOLAR,GUANACASTE,BAGACES,LA FORTUNA,50402,370928.3087,1185452.1170000006
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,LAS PAILAS,GEOTERMICA,GUANACASTE,LIBERIA,CURUBANDE,50105,348665.6059999997,1187999.1429999992
COOPERATIVA DE ELECTRIFICACION RURAL DE GUANACASTE R.L.,BIJAGUA,HIDRICA,ALAJUELA,UPALA,BIJAGUA,21304,386320.33949999977,1191190.614
COOPERATIVA DE ELECTRIFICACION RURAL DE GUANACASTE R.L.,CANALETE,HIDRICA,ALAJUELA,UPALA,BIJAGUA,21304,386602.5220999997,1193770.8000000007
EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.,LOS NEGROS,HIDRICA,ALAJUELA,UPALA,AGUAS CLARAS,21302,368275.7219000002,1200503.2210000008
EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.,LOS NEGROS II,HIDRICA,ALAJUELA,UPALA,AGUAS CLARAS,21302,370287.5236999998,1203768.6319999993
SOLAR HUACAS,SOLAR HUACAS,SOLAR,GUANACASTE,SANTA CRUZ,TAMARINDO,50309,304429.7348999996,1145261.9299999997
GASIFICACION RESIDUOS SOLIDOS MUNICIPALES,GASIFICACION RESIDUOS SOLIDOS MUNICIPALES,BIOMASA,GUANACASTE,CARRILLO,BELEN,50504,326070.9792999998,1149634.9191999994
