run,cut
0,537.1415012704821
1,537.0729884076108
2,539.4026630329993
3,501.8781162305752
4,533.6201979529396
5,425.68894787709115
6,528.9324507616691
7,535.7073225734644
8,533.6201979529396
9,423.941536011611
10,523.5731520293358
11,536.4410549713688
12,528.9324507616691
13,528.9324507616691
14,534.7816242874799
15,539.4026630329993
16,536.5933276689431
17,522.091324734593
18,537.1415012704821
19,529.086488612992
20,536.5933276689431
21,539.4026630329993
22,536.5933276689431
23,529.6232910653748
24,527.1595224266515
25,508.10820425769367
26,539.4026630329993
27,480.5891716536953
28,533.0517251065189
29,422.23563534154323
30,534.4113261446116
31,532.6280911754161
32,539.4026630329993
33,512.0530875814019
34,530.7011249890757
35,530.0785953905155
36,536.0297688117804
37,537.1415012704821
38,527.3972594913782
39,528.9324507616691
40,536.5933276689431
41,529.086488612992
42,536.8440341564768
43,533.6201979529396
44,534.7816242874799
45,527.1595224266515
46,524.9650500954965
47,539.4026630329993
48,528.6267813339051
49,539.9826575337929
50,530.7011249890757
51,537.1415012704821
52,536.5933276689431
53,512.0530875814019
54,530.7011249890757
55,498.33651366815104
56,533.3024315940528
57,536.4410549713688
58,539.9826575337929
59,530.7011249890757
60,535.3867650902783
61,525.4145178562163
62,530.0785953905155
63,508.51148501897774
64,539.9826575337929
65,535.3867650902783
66,535.7073225734644
67,527.1595224266515
68,527.1595224266515
69,533.6201979529396
70,534.3052244181317
71,498.3399042852021
72,536.5933276689431
73,501.88150684762627
74,533.3024315940528
75,528.9324507616691
76,528.9324507616691
77,532.4881662493564
78,539.9826575337929
79,529.6232910653748
80,530.7011249890757
81,527.1595224266515
82,535.8610604705751
83,525.3908481992448
84,521.8729152937922
85,536.8440341564768
86,535.7073225734644
87,528.9324507616691
88,525.633176077444
89,428.7681792751395
90,530.7011249890757
91,533.6201979529396
92,534.4113261446116
93,533.6201979529396
94,508.51148501897774
95,528.9324507616691
96,534.4113261446116
97,432.46351973467443
98,533.6201979529396
99,530.7636218557076
100,427.36608111980684
101,539.9826575337929
102,529.6232910653748
103,534.7816242874799
104,533.6201979529396
105,534.4113261446116
106,535.8610604705751
107,533.6201979529396
108,536.5933276689431
109,534.3052244181317
110,537.1415012704821
111,501.88150684762627
112,508.51148501897774
113,536.8440341564768
114,536.4410549713688
115,534.7816242874799
116,429.904890858152
117,532.1657200110402
118,536.0297688117804
119,536.8440341564768
120,531.8451625278543
121,534.3052244181317
122,529.6232910653748
123,536.5933276689431
124,535.3867650902783
125,539.4026630329993
126,422.23563534154323
127,536.8440341564768
128,536.5933276689431
129,530.8697235821874
130,512.0530875814019
131,539.9826575337929
132,530.0785953905155
133,536.8440341564768
134,535.3867650902783
135,528.9324507616691
136,528.9324507616691
137,529.1747786398681
138,539.4026630329993
139,536.8440341564768
140,528.9324507616691
141,523.299196714089
142,534.4113261446116
143,526.0816885029507
144,534.4113261446116
145,524.9650500954965
146,521.4234475330724
147,530.7011249890757
148,535.3867650902783
149,428.44762179195357
150,527.1595224266515
151,534.4113261446116
152,534.7816242874799
153,536.8440341564768
154,528.9324507616691
155,539.4026630329993
156,536.4410549713688
157,535.7073225734644
158,536.5933276689431
159,539.9826575337929
160,539.9826575337929
161,533.6201979529396
162,527.3972594913782
163,534.4113261446116
164,533.599898708058
165,521.4234475330724
166,536.4410549713688
167,429.904890858152
168,525.4145178562163
169,532.6280911754161
170,534.3052244181317
171,530.8697235821874
172,531.8451625278543
173,527.3972594913782
174,525.085178771481
175,535.3867650902783
176,536.8440341564768
177,536.8440341564768
178,535.8610604705751
179,521.8729152937922
180,531.8451625278543
181,534.3052244181317
182,536.4410549713688
183,525.633176077444
184,533.6201979529396
185,539.4026630329993
186,534.4113261446116
187,530.4496506029409
188,521.4234475330724
189,533.6201979529396
190,526.0816885029507
191,530.8697235821874
192,528.9324507616691
193,535.7073225734644
194,534.3052244181317
195,528.9324507616691
196,530.0785953905155
197,534.7816242874799
198,534.7816242874799
199,539.4026630329993
200,530.7636218557076
201,527.1595224266515
202,529.6232910653748
203,429.904890858152
204,533.6201979529396
205,533.8074255239014
206,534.4113261446116
207,527.1595224266515
208,528.9324507616691
209,535.7073225734644
210,525.4145178562163
211,498.33651366815104
212,533.0517251065189
213,534.3052244181317
214,527.3972594913782
215,534.3052244181317
216,533.3024315940528
217,530.7011249890757
218,539.4026630329993
219,534.4113261446116
220,520.8620556603432
221,533.6201979529396
222,529.086488612992
223,527.1595224266515
224,521.4234475330724
225,426.6810546546147
226,530.8697235821874
227,527.3972594913782
228,539.9826575337929
229,527.1595224266515
230,517.3204530979191
231,529.6232910653748
232,535.3867650902783
233,536.5933276689431
234,533.6201979529396
235,536.8440341564768
236,534.7816242874799
237,521.8729152937922
238,534.7816242874799
239,527.3972594913782
240,528.6267813339051
241,508.10820425769367
242,528.9324507616691
243,535.3867650902783
244,536.8440341564768
245,525.3908481992448
246,532.6280911754161
247,539.9826575337929
248,534.7816242874799
249,530.8697235821874
250,421.9933074633441
251,536.4410549713688
252,528.9324507616691
253,535.7073225734644
254,530.0785953905155
255,532.6280911754161
256,534.3052244181317
257,535.3867650902783
258,525.3908481992448
259,426.6810546546147
260,535.3867650902783
261,536.8440341564768
262,532.6280911754161
263,528.9324507616691
264,534.7816242874799
265,528.9324507616691
266,516.5544422823002
267,534.4113261446116
268,539.9826575337929
269,529.6232910653748
270,530.0785953905155
271,529.6232910653748
272,531.6839889268838
273,536.8440341564768
274,530.7011249890757
275,539.9826575337929
276,530.0785953905155
277,536.5933276689431
278,536.5933276689431
279,429.904890858152
280,518.5497221721688
281,527.3972594913782
282,530.7011249890757
283,530.7636218557076
284,534.4113261446116
285,529.086488612992
286,537.0729884076108
287,529.6232910653748
288,532.4881662493564
289,427.842480989155
290,529.6232910653748
291,539.9826575337929
292,534.3052244181317
293,518.5497221721688
294,528.9324507616691
295,535.7073225734644
296,539.4026630329993
297,508.10820425769367
298,520.8620556603432
299,539.9826575337929
300,520.8620556603432
301,536.0297688117804
302,523.299196714089
303,524.9650500954965
304,534.4113261446116
305,524.9650500954965
306,535.7073225734644
307,536.8440341564768
308,526.0816885029507
309,535.8610604705751
310,530.8697235821874
311,523.5731520293358
312,530.0785953905155
313,536.8440341564768
314,534.4113261446116
315,528.9324507616691
316,535.3867650902783
317,525.633176077444
318,536.4410549713688
319,539.9826575337929
320,539.4026630329993
321,533.6201979529396
322,534.7816242874799
323,537.1415012704821
324,524.9650500954965
325,534.3052244181317
326,528.9324507616691
327,508.51148501897774
328,532.1657200110402
329,529.1747786398681
330,498.33651366815104
331,525.085178771481
332,520.8620556603432
333,539.9826575337929
334,536.5933276689431
335,534.4113261446116
336,536.5933276689431
337,535.8610604705751
338,539.9826575337929
339,536.0297688117804
340,535.8610604705751
341,537.1415012704821
342,529.6232910653748
343,525.4145178562163
